Галузь Бакалавра,Коди,"Кількість осіб, прийнятих на навчання",Кількість студентів,З них жінки,"Кількість осіб, випущених із ЗВО",З них жінки
"Освітні, педагогічні науки",11,24,191,99,29,24
Дошкільна освіта,12,1 601,8 691,8 419,2 236,2 213
Початкова освіта,13,2 150,9 431,8 942,2 595,2 550
Середня освіта (за предметними спеціалізаціями),14,9 157,38 800,23 168,9 631,6 779
Професійна освіта (за спеціалізаціями),15,1 300,6 397,1 455,567,236
Спеціальна освіта,16,1 232,4 927,4 642,1 289,1 251
Фізична культура і спорт,17,3 302,15 537,4 541,3 284,1 172
Аудіовізуальне мистецтво та виробництво,21,676,3 032,1 792,753,446
Дизайн,22,3 493,13 554,11 180,2 213,1 826
"Образотворче мистецтво, декоративне мистецтво,  
реставрація",23,939,3 868,3 204,778,645
Хореографія,24,661,2 558,2 148,752,633
Музичне мистецтво,25,1 073,4 647,2 856,1 003,651
Сценічне мистецтво,26,694,2 695,1 952,658,453
"Музеєзнавство, пам’яткознавство",27,49,202,107,55,37
Менеджмент соціокультурної діяльності,28,302,1 782,1 173,512,415
"Інформаційна, бібліотечна та архівна справа",29,640,3 344,1 864,598,461
Релігієзнавство,31,11,39,22,6,2
Історія та археологія,32,799,3 380,1 713,858,399
Філософія,33,256,1 010,506,213,105
Культурологія,34,339,1 549,1 131,439,360
Філологія,35,8 750,30 037,25 992,6 744,5 850
Богослов’я,41,372,1 167,140,164,23
Економіка,51,4 577,16 685,9 014,4 758,2 728
Політологія,52,804,2 922,1 474,670,345
Психологія,53,12 435,36 153,30 196,5 252,4 451
Соціологія,54,467,1 526,1 127,434,330
Журналістика,61,2 542,9 936,8 161,2 534,2 099
Облік і оподаткування,71,3 158,10 239,6 567,3 560,2 523
"Фінанси, банківська справа, страхування та 
фондовий ринок",72,5 748,10 831,5 906,39,14
"Фінанси, банківська справа та страхування",72,,7 132,4 235,4 888,3 058
Менеджмент,73,12 511,41 328,23 637,9 964,5 860
Маркетинг,75,6 493,19 344,12 801,3 589,2 286
Підприємництво та торгівля,76,4 413,8 057,3 540,6,2
"Підприємництво, торгівля та біржова діяльність",76,,5 394,2 510,3 504,1 651
Право,81,9 594,51 956,29 879,14 357,8 133
Міжнародне право,82,,1,,,
Біологія,91,,1 578,1 227,807,653
Біологія та біохімія,91,575,1 092,813,,
Екологія,101,1 300,5 680,2 623,1 389,764
Хімія,102,271,1 277,773,350,223
Науки про Землю,103,390,1 662,524,336,144
Фізика та астрономія,104,225,853,252,161,55
Прикладна фізика та наноматеріали,105,253,995,250,220,49
Географія,106,202,1 006,457,223,122
Математика,111,249,1 131,611,254,130
Статистика,112,91,637,215,74,28
Прикладна математика,113,538,2 317,942,525,159
Інженерія програмного забезпечення,121,5 113,19 707,3 525,3 522,488
Комп'ютерні науки,122,6 906,27 537,6 816,5 506,1 130
"Комп’ютерні науки та інформаційні 
технології",122,,3,,,
Комп'ютерна інженерія,123,2 369,10 775,1 328,2 552,305
Системний аналіз,124,560,2 507,1 033,601,198
Кібербезпека,125,,5 344,1 065,1 594,287
Кібербезпека та захист інформації,125,3 340,6 677,1 360,34,4
Інформаційні системи та технології,126,1 303,5 385,1 328,1 156,234
Прикладна механіка,131,1 400,5 814,373,951,71
Матеріалознавство,132,398,1 625,291,237,39
Галузеве машинобудування,133,2 051,8 261,407,1 401,98
Авіаційна та ракетно-космічна техніка,134,311,1 275,206,173,27
Суднобудування,135,131,440,34,76,3
Металургія,136,737,2 259,259,330,45
"Електроенергетика, електротехніка та 
електромеханіка",141,3 859,14 612,882,2 629,142
Енергетичне машинобудування,142,421,1 552,91,272,19
Атомна енергетика,143,116,361,59,46,11
Теплоенергетика,144,430,1 650,263,330,59
Відновлювані джерела енергії та гідроенергетика,145,67,166,9,,
Гідроенергетика,145,,38,3,15,
"Автоматизація та комп'ютерно-інтегровані 
технології",151,,3 133,367,1 694,173
"Метрологія та інформаційно-вимірювальна 
техніка",152,,697,157,346,58
Мікро- та наносистемна техніка,153,,483,71,184,24
Хімічні технології та інженерія,161,,1 062,556,579,359
Біотехнології та біоінженерія,162,,1 154,730,454,312
Біомедична інженерія,163,,423,202,158,84
Хімічні технології та інженерія,161,403,1 070,444,1,
Біотехнології та біоінженерія,162,412,908,562,2,1
Біомедична інженерія,163,203,403,178,,
Електроніка,171,,688,67,304,44
Телекомунікації та радіотехніка,172,,2 577,298,1 112,128
Авіоніка,173,,156,24,57,10
Електроніка,171,380,890,70,1,
Електронні комунікації та радіотехніка,172,1 296,3 491,332,,
Авіоніка,173,67,217,38,,
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",174,2 101,5 579,534,25,
Інформаційно-вимірювальні технології,175,386,1 055,170,,
Мікро- та наносистемна техніка,176,182,389,44,,
Харчові технології,181,2 079,9 292,4 659,1 866,1 106
Технології легкої промисловості,182,265,1 029,781,206,187
Технології захисту навколишнього середовища,183,392,1 682,547,157,63
Гірництво,184,409,2 137,211,465,50
Нафтогазова інженерія та технології,185,563,1 896,169,335,42
Видавництво та поліграфія,186,262,1 592,1 097,280,196
Деревообробні та меблеві технології,187,191,597,35,105,7
Архітектура та містобудування,191,1 754,6 079,4 269,1 074,722
Будівництво та цивільна інженерія,192,4 059,16 877,2 979,2 197,464
Геодезія та землеустрій,193,1 148,4 207,1 340,980,368
"Гідротехнічне будівництво, водна інженерія та 
водні технології",194,124,549,82,88,22
Агрономія,201,3 175,12 160,2 320,1 955,364
Захист і карантин рослин,202,234,1 209,307,171,58
"Садівництво, плодоочівництво та виноградарство",203,167,487,109,,
Садівництво та виноградарство,203,,334,102,109,29
"Технологія виробництва і переробки продукції 
тваринництва",204,619,3 188,1 238,622,312
Лісове господарство,205,929,3 965,459,576,65
Садово-паркове господарство,206,414,1 809,947,217,137
Водні біоресурси та аквакультура,207,377,1 345,207,185,34
Агроінженерія,208,2 645,9 477,298,1 488,72
Ветеринарна медицина,211,,1,1,,
Медсестринство,223,931,1 858,1 662,709,652
"Технології медичної діагностики та 
лікування",224,165,419,357,126,113
"Фармація, промислова фармація",226,3,824,727,685,612
Терапія та реабілітація,227,3 606,6 443,3 761,35,19
Фізична реабілітація,227,,126,8,45,18
"Фізична терапія, ерготерапія",227,,2 759,1 388,1 349,784
Громадське здоров`я,229,76,140,86,29,23
Соціальна робота,231,1 217,5 761,3 893,1 129,903
Соціальне забезпечення,232,332,1 371,863,353,277
Готельно-ресторанна справа,241,2 549,9 099,6 570,2 627,1 923
Туризм,242,,3 398,2 366,2 259,1 633
Туризм і рекреація,242,1 724,2 978,1 947,1,1
Національна безпека,256,549,1 968,709,139,55
Управління інформаційною безпекою,257,2,3,,,
Пожежна безпека,261,236,2 837,717,375,70
Правоохоронна діяльність,262,3 609,8 207,4 737,1 961,1 139
Цивільна безпека,263,418,2 151,791,335,156
Морський та внутрішній водний транспорт,271,1 516,7 011,133,2 242,23
Річковий та морський транспорт,271,,3,,,
Авіаційний транспорт,272,68,1 314,251,76,4
Залізничний транспорт,273,295,1 664,206,311,37
Автомобільний транспорт,274,1 684,6 932,111,1 031,14
Транспортні технології,275,2 391,9 658,3 050,1 672,497
Публічне управління та адміністрування,281,709,4 112,2 493,1 204,778
"Міжнародні відносини, суспільні комунікації 
та регіональні студії",291,1 503,6 332,4 554,1 585,1 132
Міжнародні економічні відносини,292,1 297,5 770,3 711,1 580,993
Міжнародне право,293,907,3 514,2 434,826,553