Галузь молодшого фахового бакалавра,Коди,"Кількість осіб, прийнятих на навчання",Кількість студентів,З них жінки,"Кількість осіб, випущених із ЗВО",З них жінки
Дошкільна освіта,12,432,1 290,1 238,365,364
Початкова освіта,13,784,2 229,1 960,613,573
Середня освіта (за предметними спеціалізаціями),14,305,860,469,179,129
Професійна освіта (за спеціалізаціями),15,25,24,8,,
Фізична культура і спорт,17,124,155,22,11,3
Аудіовізуальне мистецтво та виробництво,21,50,87,57,,
Дизайн,22,201,515,433,55,47
"Образотворче мистецтво, декоративне мистецтво,  реставрація",23,54,198,177,57,52
Хореографія,24,140,400,342,95,70
Музичне мистецтво,25,432,1 517,1 051,314,229
Сценічне мистецтво,26,225,605,477,139,106
Менеджмент соціокультурної діяльності,28,121,218,100,35,28
"Інформаційна, бібліотечна та архівна справа",29,83,131,43,32,31
Економіка,51,262,386,103,49,32
Журналістика,61,154,283,73,43,15
Облік і оподаткування,71,274,406,123,35,22
"Фінанси, банківська справа, страхування та фондовий 
ринок",72,779,1 061,201,3,3
"Фінанси, банківська справа та страхування",72,,180,95,205,96
Менеджмент,73,221,422,161,77,34
Маркетинг,75,137,363,231,98,64
Підприємництво та торгівля,76,272,435,112,1,
"Підприємництво, торгівля та біржова діяльність",76,,68,26,101,51
Право,81,1 090,2 401,1 151,588,326
Екологія,101,52,68,2,1,1
Прикладна математика,113,15,45,15,2,
Інженерія програмного забезпечення,121,376,936,117,126,13
Комп'ютерні науки,122,163,490,98,76,15
Комп'ютерна інженерія,123,184,384,27,58,3
Авіоніка,173,,30,4,23,2
Харчові технології,181,106,147,26,40,21
Технології легкої промисловості,182,87,272,3,9,2
Геодезія та землеустрій,193,183,231,2,21,2
Садово-паркове господарство,206,24,19,,,
Стоматологія,221,225,616,323,132,60
Медсестринство,223,871,2 982,2 549,561,508
Технології медичної діагностики та лікування,224,21,57,43,30,17
"Фармація, промислова фармація",226,684,1 817,1 630,488,450
Соціальна робота,231,225,334,105,48,25
Готельно-ресторанна справа,241,167,378,207,98,57
Туризм,242,,48,27,39,19
Туризм і рекреація,242,124,167,36,,
Авіаційний транспорт,272,,70,17,60,9
Автомобільний транспорт,274,178,275,1,,