Галузь загальна,"Кількість осіб, уперше прийнятих до ЗВО",Кількість студентів,З них жінок,"Кількість осіб, випущених із ЗВО",З них жінок
Освіта,19 956,108 453,66 065,42 116,29 176
Культура та мистецтво,9 741,44 018,31 243,11 651,8 235
Гуманітарні науки,10 060,41 309,32 759,12 207,9 467
Богослов’я,271,1 488,180,324,56
Соц. та поведінкові науки,17 718,79 756,57 673,24 107,17 052
Журналістика,2 682,11 376,8 888,3 404,2 631
Управління та адміністрування,33 827,128 222,68 679,43 590,22 992
Право,8 807,67 733,37 803,26 658,14 655
Біологія,572,3 529,2 624,1 481,1 129
Природничі науки,2 679,14 654,5 731,5 315,2 207
Математика та статистика,889,5 097,2 015,1 504,508
ІТ,20 163,93 465,18 136,25 818,4 039
Механічна інженерія,5 022,24 272,1 814,7 358,626
Електрична інженерія,4 877,22 775,1 665,7 614,708
Автоматизація та приладобуд.,,4 332,597,3 312,384
Хімія та біоінженерія,,2 646,1 490,1 658,986
Хімія та біоінженерія,1 011,3 718,1 729,746,334
Електроніка та телеком.,,3 477,393,2 345,286
Електроніка та автоматизація,4 402,16 908,1 584,2 413,222
Виробництво та технології,4 341,22 973,8 492,7 257,2 772
Архітектура та будівництво,7 233,34 444,10 122,10 215,2 824
Аграрні науки та продовол.,8 536,39 893,6 651,11 922,1 967
Ветеринарна медицина,,4 148,2 653,960,607
Ветеринарія,1 042,2 198,1 491,78,17
Охорона здоров’я,13 516,66 435,47 431,14 300,10 426
Соціальна робота,1 763,9 824,6 095,3 185,2 228
Сфера обслуговування,4 554,17 961,11 778,6 694,4 345
Воєнні науки та безпека,550,2 840,922,486,126
Цивільна безпека,4 246,17 292,7 560,5 840,2 466
Транспорт,5 908,31 791,4 309,9 739,1 250
Публ. управління та адміністр.,689,10 053,5 248,6 568,3 283
Міжнародні відносини,3 677,18 546,12 169,6 272,3 865