галузь Бакалавра,Коди,бюджетники,контрактники,ваучера
Освіта/Педагогіка,10,11 656,7 104,6
Культура і мистецтво,20,3 113,5 414,
Гуманітарні науки,30,2 785,7 370,
Богослов’я,40,,372,
Соціальні та поведінкові науки,50,1 800,16 482,1
Журналістика,60,237,2 305,
Управління та адміністрування,70,1 939,30 381,3
Право,80,750,8 844,
Біологія,90,410,165,
Природничі науки,100,1 909,732,
Математика та статистика,110,726,152,
Інформаційні технології,120,8 168,11 423,
Механічна інженерія,130,3 511,1 517,
Електрична інженерія,140,3 518,1 375,
"Хімічна інженерія та 
біоінженерія",160,741,277,
"Електроніка, автоматизація та 
електронні комунікації",170,3 454,958,
Виробництво та технології,180,2 647,1 514,
Архітектура та будівництво,190,4 034,3 050,1
Аграрні науки та продовольство,200,5 074,3 486,
Охорона здоров’я,220,1 841,2 934,6
Соціальна робота,230,730,818,1
Сфера обслуговування,240,330,3 943,
"Воєнні науки, національна безпека, 
безпека державного кордону",250,,551,
Цивільна безпека,260,102,4 161,
Транспорт,270,2 520,3 434,
"Публічне управління та 
адміністрування",280,80,629,
Міжнародні відносини,290,553,3 154,