галузь Молодшого Бакалавра,Коди,бюджетники,контрактники,ваучера
Освіта/Педагогіка,10,1 134,536,
Культура і мистецтво,20,767,539,
Соціальні та поведінкові науки,50,16,246,
Журналістика,60,17,137,
Управління та адміністрування,70,86,1 597,
Право,80,,1 090,
Природничі науки,100,,52,
Математика та статистика,110,,15,
Інформаційні технології,120,135,588,
Виробництво та технології,180,,193,
Архітектура та будівництво,190,,183,
Аграрні науки та продовольство,200,,24,
Охорона здоров’я,220,587,1 214,
Соціальна робота,230,18,207,
Сфера обслуговування,240,,291,
Транспорт,270,,178,